,City,State,Date,Ct_Value,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalCases_100k_inhab,TotalDeaths_100k_inhab,TotalDeaths_by_TotalCases,Vax_AllDoses,Vax_Dose1,Vax_Dose2,Vax_Dose3,Vax_Dose4,Hosp_Count,Hosp_Deaths,Hosp_Death_Rate,Aver_Hosp_Stay,Stringency_Index,Total_Pop_2022,Proportion_Rural_Pop,Municipal_HDI_Overall,Municipal_HDI_Longevity_Dimension,Municipal_HDI_Educational_Dimension,Municipal_HDI_Income_Dimension,Proportion_Poor,Gini_Coefficient,Theil_Index,Latitude,Longitude
26202,Rio de Janeiro,RJ,2020-03-20,30.93,56,0,0,0,0.00056,0.0,0.0,0,0,0,0,0,20348.0,1513.0,74.44,8.1,66.2,6211223.0,0.0,0.799,0.845,0.719,0.84,5.01,0.62,0.72,-22.9111,-43.2056
26203,Rio de Janeiro,RJ,2020-03-21,30.93,99,43,0,0,0.00099,0.0,0.0,0,0,0,0,0,20348.0,1513.0,74.44,8.1,71.76,6211223.0,0.0,0.799,0.845,0.719,0.84,5.01,0.62,0.72,-22.9111,-43.2056
26204,Rio de Janeiro,RJ,2020-03-22,30.93,168,69,0,0,0.00168,0.0,0.0,0,0,0,0,0,20348.0,1513.0,74.44,8.1,71.76,6211223.0,0.0,0.799,0.845,0.719,0.84,5.01,0.62,0.72,-22.9111,-43.2056
26205,Rio de Janeiro,RJ,2020-03-23,30.93,212,44,1,1,0.00212,1e-05,0.0047169811320754,0,0,0,0,0,20348.0,1513.0,74.44,8.1,71.76,6211223.0,0.0,0.799,0.845,0.719,0.84,5.01,0.62,0.72,-22.9111,-43.2056
26206,Rio de Janeiro,RJ,2020-03-24,30.93,276,64,3,2,0.00276,3e-05,0.0108695652173913,0,0,0,0,0,20348.0,1513.0,74.44,8.1,71.76,6211223.0,0.0,0.799,0.845,0.719,0.84,5.01,0.62,0.72,-22.9111,-43.2056
26207,Rio de Janeiro,RJ,2020-03-25,19.41,331,55,5,2,0.00331,5e-05,0.0151057401812688,0,0,0,0,0,20348.0,1513.0,74.44,8.1,71.76,6211223.0,0.0,0.799,0.845,0.719,0.84,5.01,0.62,0.72,-22.9111,-43.2056
26208,Rio de Janeiro,RJ,2020-03-26,24.76333,368,37,6,1,0.00368,6e-05,0.0163043478260869,0,0,0,0,0,20348.0,1513.0,74.44,8.1,71.76,6211223.0,0.0,0.799,0.845,0.719,0.84,5.01,0.62,0.72,-22.9111,-43.2056
26209,Rio de Janeiro,RJ,2020-03-27,25.40857,431,63,6,0,0.00431,6e-05,0.0139211136890951,0,0,0,0,0,20348.0,1513.0,74.44,8.1,74.54,6211223.0,0.0,0.799,0.845,0.719,0.84,5.01,0.62,0.72,-22.9111,-43.2056
26210,Rio de Janeiro,RJ,2020-03-28,33.33,489,58,9,3,0.00489,9e-05,0.0184049079754601,0,0,0,0,0,20348.0,1513.0,74.44,8.1,74.54,6211223.0,0.0,0.799,0.845,0.719,0.84,5.01,0.62,0.72,-22.9111,-43.2056
26211,Rio de Janeiro,RJ,2020-03-29,23.145,516,27,13,4,0.00516,0.00013,0.0251937984496124,0,0,0,0,0,20348.0,1513.0,74.44,8.1,74.54,6211223.0,0.0,0.799,0.845,0.719,0.84,5.01,0.62,0.72,-22.9111,-43.2056
26212,Rio de Janeiro,RJ,2020-03-30,17.48,553,37,13,0,0.00553,0.00013,0.023508137432188,0,0,0,0,0,20348.0,1513.0,74.44,8.1,74.54,6211223.0,0.0,0.799,0.845,0.719,0.84,5.01,0.62,0.72,-22.9111,-43.2056
26213,Rio de Janeiro,RJ,2020-03-31,20.062916666666666,586,33,18,5,0.00586,0.00018,0.030716723549488,0,0,0,0,0,20348.0,1513.0,74.44,8.1,74.54,6211223.0,0.0,0.799,0.845,0.719,0.84,5.01,0.62,0.72,-22.9111,-43.2056
26214,Rio de Janeiro,RJ,2020-04-01,22.645833333333336,697,111,20,2,0.00697,0.0002,0.0286944045911047,0,0,0,0,0,17366.0,1704.0,98.81,8.2,74.54,6211223.0,0.0,0.799,0.845,0.719,0.84,5.01,0.62,0.72,-22.9111,-43.2056
26215,Rio de Janeiro,RJ,2020-04-02,25.22875,798,101,31,11,0.00798,0.00031,0.0388471177944862,0,0,0,0,0,17366.0,1704.0,98.81,8.2,74.54,6211223.0,0.0,0.799,0.845,0.719,0.84,5.01,0.62,0.72,-22.9111,-43.2056
26216,Rio de Janeiro,RJ,2020-04-03,25.30444,867,69,36,5,0.00867,0.00036,0.0415224913494809,0,0,0,0,0,17366.0,1704.0,98.81,8.2,74.54,6211223.0,0.0,0.799,0.845,0.719,0.84,5.01,0.62,0.72,-22.9111,-43.2056
26217,Rio de Janeiro,RJ,2020-04-04,25.1325,982,115,38,2,0.00982,0.00038,0.0386965376782077,0,0,0,0,0,17366.0,1704.0,98.81,8.2,74.54,6211223.0,0.0,0.799,0.845,0.719,0.84,5.01,0.62,0.72,-22.9111,-43.2056
26218,Rio de Janeiro,RJ,2020-04-05,25.535186666666668,1068,86,42,4,0.01068,0.00042,0.0393258426966292,0,0,0,0,0,17366.0,1704.0,98.81,8.2,74.54,6211223.0,0.0,0.799,0.845,0.719,0.84,5.01,0.62,0.72,-22.9111,-43.2056
26219,Rio de Janeiro,RJ,2020-04-06,25.937873333333332,1110,42,47,5,0.0111,0.00047,0.0423423423423423,0,0,0,0,0,17366.0,1704.0,98.81,8.2,74.54,6211223.0,0.0,0.799,0.845,0.719,0.84,5.01,0.62,0.72,-22.9111,-43.2056
26220,Rio de Janeiro,RJ,2020-04-07,26.34056,1251,141,59,12,0.01251,0.00059,0.0471622701838529,0,0,0,0,0,17366.0,1704.0,98.81,8.2,74.54,6211223.0,0.0,0.799,0.845,0.719,0.84,5.01,0.62,0.72,-22.9111,-43.2056
26221,Rio de Janeiro,RJ,2020-04-08,23.38171,1449,198,73,14,0.01449,0.00073,0.0503795721187025,0,0,0,0,0,17366.0,1704.0,98.81,8.2,74.54,6211223.0,0.0,0.799,0.845,0.719,0.84,5.01,0.62,0.72,-22.9111,-43.2056
26222,Rio de Janeiro,RJ,2020-04-09,23.515,1633,184,82,9,0.01633,0.00082,0.0502143294549908,0,0,0,0,0,17366.0,1704.0,98.81,8.2,74.54,6211223.0,0.0,0.799,0.845,0.719,0.84,5.01,0.62,0.72,-22.9111,-43.2056
26223,Rio de Janeiro,RJ,2020-04-10,24.33593,1808,175,92,10,0.01808,0.00092,0.0508849557522123,0,0,0,0,0,17366.0,1704.0,98.81,8.2,74.54,6211223.0,0.0,0.799,0.845,0.719,0.84,5.01,0.62,0.72,-22.9111,-43.2056
26224,Rio de Janeiro,RJ,2020-04-11,21.9756,1905,97,98,6,0.01905,0.00098,0.0514435695538057,0,0,0,0,0,17366.0,1704.0,98.81,8.2,74.54,6211223.0,0.0,0.799,0.845,0.719,0.84,5.01,0.62,0.72,-22.9111,-43.2056
26225,Rio de Janeiro,RJ,2020-04-12,24.49424,1996,91,106,8,0.01996,0.00106,0.0531062124248497,0,0,0,0,0,17366.0,1704.0,98.81,8.2,74.54,6211223.0,0.0,0.799,0.845,0.719,0.84,5.01,0.62,0.72,-22.9111,-43.2056
26226,Rio de Janeiro,RJ,2020-04-13,21.56857,2322,326,115,9,0.02322,0.00115,0.049526270456503,0,0,0,0,0,17366.0,1704.0,98.81,8.2,74.54,6211223.0,0.0,0.799,0.845,0.719,0.84,5.01,0.62,0.72,-22.9111,-43.2056
26227,Rio de Janeiro,RJ,2020-04-14,21.69857,2393,71,140,25,0.02393,0.0014,0.058503969912244,0,0,0,0,0,17366.0,1704.0,98.81,8.2,74.54,6211223.0,0.0,0.799,0.845,0.719,0.84,5.01,0.62,0.72,-22.9111,-43.2056
26228,Rio de Janeiro,RJ,2020-04-15,24.51209,2519,126,167,27,0.02519,0.00167,0.0662961492655815,0,0,0,0,0,17366.0,1704.0,98.81,8.2,74.54,6211223.0,0.0,0.799,0.845,0.719,0.84,5.01,0.62,0.72,-22.9111,-43.2056
26229,Rio de Janeiro,RJ,2020-04-16,21.43,2659,140,195,28,0.02659,0.00195,0.0733358405415569,0,0,0,0,0,17366.0,1704.0,98.81,8.2,74.54,6211223.0,0.0,0.799,0.845,0.719,0.84,5.01,0.62,0.72,-22.9111,-43.2056
26230,Rio de Janeiro,RJ,2020-04-17,22.78078,2946,287,219,24,0.02946,0.00219,0.0743380855397148,0,0,0,0,0,17366.0,1704.0,98.81,8.2,74.54,6211223.0,0.0,0.799,0.845,0.719,0.84,5.01,0.62,0.72,-22.9111,-43.2056
26231,Rio de Janeiro,RJ,2020-04-18,26.15324,3059,113,237,18,0.03059,0.00237,0.0774762994442628,0,0,0,0,0,17366.0,1704.0,98.81,8.2,74.54,6211223.0,0.0,0.799,0.845,0.719,0.84,5.01,0.62,0.72,-22.9111,-43.2056
26232,Rio de Janeiro,RJ,2020-04-19,24.037,3126,67,245,8,0.03126,0.00245,0.0783749200255918,0,0,0,0,0,17366.0,1704.0,98.81,8.2,74.54,6211223.0,0.0,0.799,0.845,0.719,0.84,5.01,0.62,0.72,-22.9111,-43.2056
26233,Rio de Janeiro,RJ,2020-04-20,25.38239,3243,117,257,12,0.03243,0.00257,0.0792476102374344,0,0,0,0,0,17366.0,1704.0,98.81,8.2,74.54,6211223.0,0.0,0.799,0.845,0.719,0.84,5.01,0.62,0.72,-22.9111,-43.2056
26234,Rio de Janeiro,RJ,2020-04-21,26.72778,3587,344,283,26,0.03587,0.00283,0.0788960133816559,0,0,0,0,0,17366.0,1704.0,98.81,8.2,74.54,6211223.0,0.0,0.799,0.845,0.719,0.84,5.01,0.62,0.72,-22.9111,-43.2056
26235,Rio de Janeiro,RJ,2020-04-22,28.34778,3656,69,303,20,0.03656,0.00303,0.0828774617067833,0,0,0,0,0,17366.0,1704.0,98.81,8.2,74.54,6211223.0,0.0,0.799,0.845,0.719,0.84,5.01,0.62,0.72,-22.9111,-43.2056
26236,Rio de Janeiro,RJ,2020-04-23,20.31,4027,371,322,19,0.04027,0.00322,0.0799602681897194,0,0,0,0,0,17366.0,1704.0,98.81,8.2,74.54,6211223.0,0.0,0.799,0.845,0.719,0.84,5.01,0.62,0.72,-22.9111,-43.2056
26237,Rio de Janeiro,RJ,2020-04-24,26.89593,4091,64,347,25,0.04091,0.00347,0.0848203373258372,0,0,0,0,0,17366.0,1704.0,98.81,8.2,74.54,6211223.0,0.0,0.799,0.845,0.719,0.84,5.01,0.62,0.72,-22.9111,-43.2056
26238,Rio de Janeiro,RJ,2020-04-25,24.545,4481,390,367,20,0.04481,0.00367,0.0819013613032805,0,0,0,0,0,17366.0,1704.0,98.81,8.2,74.54,6211223.0,0.0,0.799,0.845,0.719,0.84,5.01,0.62,0.72,-22.9111,-43.2056
26239,Rio de Janeiro,RJ,2020-04-26,25.425835,4498,17,382,15,0.04498,0.00382,0.084926634059582,0,0,0,0,0,17366.0,1704.0,98.81,8.2,77.31,6211223.0,0.0,0.799,0.845,0.719,0.84,5.01,0.62,0.72,-22.9111,-43.2056
26240,Rio de Janeiro,RJ,2020-04-27,26.30667,5261,763,405,23,0.05261,0.00405,0.0769815624406006,0,0,0,0,0,17366.0,1704.0,98.81,8.2,77.31,6211223.0,0.0,0.799,0.845,0.719,0.84,5.01,0.62,0.72,-22.9111,-43.2056
26241,Rio de Janeiro,RJ,2020-04-28,23.59714,5554,293,456,51,0.05554,0.00456,0.0821029888368743,0,0,0,0,0,17366.0,1704.0,98.81,8.2,77.31,6211223.0,0.0,0.799,0.845,0.719,0.84,5.01,0.62,0.72,-22.9111,-43.2056
26242,Rio de Janeiro,RJ,2020-04-29,26.57469,5689,135,496,40,0.05689,0.00496,0.0871857971523993,0,0,0,0,0,17366.0,1704.0,98.81,8.2,77.31,6211223.0,0.0,0.799,0.845,0.719,0.84,5.01,0.62,0.72,-22.9111,-43.2056
26243,Rio de Janeiro,RJ,2020-04-30,24.135,5903,214,535,39,0.05903,0.00535,0.0906318820938505,0,0,0,0,0,17366.0,1704.0,98.81,8.2,77.31,6211223.0,0.0,0.799,0.845,0.719,0.84,5.01,0.62,0.72,-22.9111,-43.2056
26244,Rio de Janeiro,RJ,2020-05-01,24.3185,6189,286,574,39,0.06189,0.00574,0.0927451930845047,0,0,0,0,0,18916.0,2344.0,12.39,8.7,77.31,6211223.0,0.0,0.799,0.845,0.719,0.84,5.01,0.62,0.72,-22.9111,-43.2056
26245,Rio de Janeiro,RJ,2020-05-02,25.32618,6448,259,603,29,0.06448,0.00603,0.0935173697270471,0,0,0,0,0,18916.0,2344.0,12.39,8.7,77.31,6211223.0,0.0,0.799,0.845,0.719,0.84,5.01,0.62,0.72,-22.9111,-43.2056
